cod_material	dscmat	codund_mda_mat	Estoque Necessário
91086	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 75KVA CL2 4TP	UN	28
91119	FITA AMARRACAO ACO-INOX ANSI304 FE-3 19X0,8MM 1520DAN	M	166
91121	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 30KVA CL2 4TP	UN	7
91122	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 45KVA CL2 4TP	UN	8
91123	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 150KVA CL2 4TP	UN	1
91152	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 45KVA CL4 4TP	UN	3
91153	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 75KVA CL4 4TP	UN	10
91154	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 112,5KVA CL4 4TP	UN	7
91155	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 150KVA CL4 4TP	UN	1
91156	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 225KVA CL4 4TP	UN	1
91606	TRANSF DISTR AER OVI 1F 7,967KV 230V 25KVA CL2 5TP	UN	6
92017	ARMACAO SECUNDARIA ACO-GALV 2 ESTRIBOS 310X50X5,0MM 325X16MM	UN	7
92325	ELETRODUTO RIGIDO INFRA PVC 3000MM DN20 PRT	UN	10
