codmat	dscmat	codund_mda_mat	vlrult_cot	saldo_oper
92453	CONECTOR DERIV PERF RDP CB/ESTR 15KV 70-185MM2 8,2MM	UN	268,825	167
90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	11,875	242
90354	CONECTOR DERIV PERF RSI CB/CB 1,0KV 25-95MM2/25-95MM2	UN	17,18	54
90355	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-120MM2/10-35MM2	UN	10,855	668
90356	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-120MM2/35-120MM2	UN	17,18	3447
90352	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-95MM2/1,5-6,0MM2	UN	7,385	472
90461	CONECTOR GRAMPO LINHA VIVA ALUM 35-120MM2/10-95MM2 400A	UN	127,595	3
90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	84,655	235
90492	CONECTOR TERM PRE ILHOS SMP COBR 0,6KV 10MM2 26,9MM VRM	UN	0,86	134
690916	CONTROLE P/ RELIGADOR LINHA DISTR 15,0KV 115VCA	PC	32885,19	3
690917	CONTROLE P/ RELIGADOR LINHA DISTR 24,2KV 115VCA	PC	31560,2396	4
90255	CORDOALHA ACO CARB CL A 7 FIOS MR 6,4MM 1430DAN	M	3,59	1771
90256	CORDOALHA ACO CARB CL A 7 FIOS MR 9,5MM 3160DAN	M	7,42	9948,4
90405	CRUZETA DISTR CONCR TIPO L 1700MM 90X90MM 300DAN CAA2	UN	113,2333	303
91073	CRUZETA DISTR CONCR TIPO L 1700MM 90X90MM 300DAN CAA4	UN	123,86	93
90662	CRUZETA DISTR CONCR TIPO RETAN 2400MM 90X115MM 400DAN CAA2	PC	198,74	12
90400	CRUZETA DISTR CONCR TIPO T 1900MM 90X90MM 250DAN CAA2	UN	85,62	253
91074	CRUZETA DISTR CONCR TIPO T 1900MM 90X90MM 250DAN CAA4	UN	126,27	212
22817	CRUZETA DISTR CONCR TIPO T 90X90MM 1200MM 250DAN CL2	PC	42,78	12
90404	CRUZETA DISTR PRFV RETANG 90X112,5MM 2400MM 400DAN	UN	167,35	1
90582	CRUZETA DISTR PRFV RETANG 90X112,5MM 3000MM 400DAN	UN	189,81	25
10247	CURVA DE PVC 3/4 - 90	PC	0,95	209
10246	CURVA DE PVC DE 1 - 90	PC	1,1	76
37745	DEFENSA ARQUEADA DE CONCRETO ARMADO 	PC	741,46	4
90862	DISJUNTOR PROT TERMOMAG PEC IEC/DIN 1P 32A 240V 4,5KA CVC	UN	9,5	92
90839	DISJUNTOR PROT TERMOMAG PEC IEC/DIN 1P 50A 240V 4,5KA CVC	UN	7,6421	38
92161	DISJUNTOR PROT TERMOMAG PEC NEMA 3P 60A 380V 3,0KA CVC	UN	63,85	39
92325	ELETRODUTO RIGIDO INFRA PVC 3000MM DN20 PRT	UN	10,14	75
92002	ELETRODUTO RIGIDO INFRA PVC 3000MM DN25 PRT	UN	15,12	10
90497	ELO FUSIVEL DISTRIBUICAO TIPO H 0,5A 500MM	UN	5,1505	778
90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	5,1505	269
90499	ELO FUSIVEL DISTRIBUICAO TIPO H 2A 500MM	UN	5,1505	53
90500	ELO FUSIVEL DISTRIBUICAO TIPO H 3A 500MM	UN	5,78	146
90501	ELO FUSIVEL DISTRIBUICAO TIPO H 5A 500MM	UN	5,78	18
90641	ELO FUSIVEL DISTRIBUICAO TIPO K 10A 500MM VERMELHO	UN	5,8387	196
90643	ELO FUSIVEL DISTRIBUICAO TIPO K 15A 500MM VERDE	UN	5,8387	13
90645	ELO FUSIVEL DISTRIBUICAO TIPO K 25A 500MM BRANCO	UN	6,086	295
90510	ELO FUSIVEL DISTRIBUICAO TIPO K 40A 500MM	UN	7,5853	501
90639	ELO FUSIVEL DISTRIBUICAO TIPO K 6A 500MM AMARELA	UN	5,8387	88
90640	ELO FUSIVEL DISTRIBUICAO TIPO K 8A 500MM AZUL	UN	5,2215	2
90567	ESPACADOR LOSANGULAR PEAD 15KV 340X460MM TRAV CNZ/PRT	PC	17,8	1140
90568	ESPACADOR LOSANGULAR PEAD 36,2KV 550X750MM TRAV CNZ/PRT	PC	59,2934	54
90803	ESPACADOR VERTICAL PEAD 1,2KV 850,0MM TRAVA 5 COND	UN	7,61	14
90399	ESTRIBO P/ BRACO TIPO L ACO-GALV 140X70X50MM 400DAN	UN	14,14	46
90660	FECHO P/ FITA AMARRACAO FE-2 46X24MM 3MM 760DAN	PC	0,6023	1164
90391	FIO AMARRACAO ALUMINIO MOLE 1F 6AWG 4.11MM 80DAN	KG	46,93	31,82
91377	FIO COBRE ISOLAD 450/750V BWF/PVC 1,5MM2 CL1/4/5 BRC/CNZ	M	1	300
91378	FIO COBRE ISOLAD 450/750V BWF/PVC 1,5MM2 CL1/4/5 PRT	M	1	200
91381	FIO COBRE ISOLAD 450/750V BWF/PVC 1,5MM2 CL1/4/5 VRM	M	1	100
92110	FIO COBRE ISOLAD 450/750V BWF/PVC 2,5MM2 CL1/4/5 PRT	M	1,5545	300
92113	FIO COBRE ISOLAD 450/750V BWF/PVC 2,5MM2 CL1/4/5 VRM	M	1,512	300
42	FIO DE COBRE ISOLADO 1,5 MM2	M	1,0114	115
91119	FITA AMARRACAO ACO-INOX ANSI304 FE-3 19X0,8MM 1520DAN	M	3,3295	589,4
91236	FITA ISOLANTE AUTOFUSAO 35KV 10M 19X0,76MM PRT	UN	17,05	340
90414	FITA ISOLANTE AUTOFUSAO 35KV 5M 19X0,76MM PRT	UN	9,16	369
90415	FITA ISOLANTE SIMPLES 750V 10M 19X0,76MM PRT	UN	5,01	199
90392	FITA LISA P/ AMARRACAO CABO ALUM 1F 10,0X1,0MM	KG	75,48	48,43
90448	GANCHO OLHAL ACO-GALV 130X88X13MM 50KN S/TRAVA	UN	10,68	1648
90449	GRAMPO ANCOR DIELETR URB SGL 15KV 14,0-16,5MM 400DAN	UN	16,01	332
90450	GRAMPO ANCOR DIELETR URB SGL 15KV 18,8-21,3MM 400DAN	UN	17,03	388
90451	GRAMPO ANCOR DIELETR URB SGL 15KV 21,8-24,3MM 400DAN	UN	16,9946	637
90452	GRAMPO ANCOR DIELETR URB SGL 24,2KV 16,0-18,6MM 400DAN	UN	17,2089	39
90453	GRAMPO ANCOR DIELETR URB SGL 24,2KV 20,8-23,4MM 400DAN	UN	17,2145	86
90514	HASTE ANCORA ESTAI ACO-GALV 2400MM M16 5000DAN	UN	47,109	6
90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	85,62	411
90463	HASTE ATERRAMENTO PERF L CHANF ACO-GALV 2400X25X25MM 5,0MM	UN	39,13	62
90277	ISOLADOR BASTAO POLIM ANCOR 15.0KV 370MM 380MM 50KN GO	UN	30,5886	2158
30272	ISOLADOR HITOP PORCELANA 15KV	PC	9,66	6
90253	ISOLADOR PILAR PORCEL 15,0KV 220MM 300MM 8.0KN M20 CTC	UN	53,395	866
90254	ISOLADOR PILAR PORCEL 24,2KV 330MM 530MM 8.0KN M20 CTC	UN	92,415	63
90275	ISOLADOR PINO POLIM 15,0KV 280MM 25MM ANEL 1200DAN CNZ	UN	35,23	1272
90276	ISOLADOR PINO POLIM 24,2/36,2KV 530MM 35MM ANEL 1200DAN CNZ	UN	69,8556	12
90295	ISOLADOR ROLDANA PORCELANA 79X76MM 1350DAN MRM	UN	5,355	1642
90761	LACO PREF DISTR ACO-ZN LAT DUPL 13,10-14,65MM 520MM VRM COX	UN	11,5217	67
90762	LACO PREF DISTR ACO-ZN LAT DUPL 16,20-18,15MM 550MM VRD COX	UN	39,4982	6
90756	LACO PREF DISTR ACO-ZN LAT DUPL 5,70-6,45MM 410MM LRJ COX	UN	6,1704	13
90757	LACO PREF DISTR ACO-ZN LAT DUPL 7,30-8,20MM 430MM VRM COX	UN	6,5708	61
90758	LACO PREF DISTR ACO-ZN LAT DUPL 9,15-10,25MM 430MM AMR COX	UN	12,9773	23
90750	LACO PREF DISTR ACO-ZN LAT SIMP 10,30-11,55MM 630MM AZL COX	UN	7,4809	16
90749	LACO PREF DISTR ACO-ZN LAT SIMP 9,15-10,25MM 580MM AMR COX	UN	5,3877	23
90687	LACO PREF DISTR ACO-ZN ROLD 5,70-6,45MM 480MM LRJ COX	UN	2,7961	283
90688	LACO PREF DISTR ACO-ZN ROLD 7,30-8,20MM 560MM VRM COX	UN	2,64	416
